"GEOID","NAME","total_popE","whiteE","blackE","asianE","hispanicE","year"
"1704598","Beecher City village, Illinois",454,446,3,0,1,2015
"1731992","Gulf Port village, Illinois",19,19,0,0,0,2015
"1708524","Brocton village, Illinois",357,337,0,0,8,2015
"1732200","Hainesville village, Illinois",3690,2765,47,219,545,2015
"1719031","Deer Grove village, Illinois",38,37,0,0,1,2015
"1704585","Beecher village, Illinois",4532,4006,132,29,331,2015
"1761860","Preston Heights CDP, Illinois",2907,560,1622,0,649,2015
"1724179","Enfield village, Illinois",628,624,0,0,0,2015
"1735047","Hillsboro city, Illinois",8545,5610,2406,43,298,2015
"1718940","Deer Creek village, Illinois",731,637,0,2,85,2015
"1746981","Mark village, Illinois",599,541,0,7,51,2015
"1703675","Bardolph village, Illinois",268,259,0,0,7,2015
"1770590","South Beloit city, Illinois",8131,7078,254,27,561,2015
"1732395","Hamburg village, Illinois",77,76,0,0,0,2015
"1766924","St. Johns village, Illinois",224,212,0,1,0,2015
"1729125","Gibson City city, Illinois",3542,3417,12,0,0,2015
"1701242","Alvan village, Illinois",286,265,0,5,9,2015
"1755470","Okawville village, Illinois",1460,1415,22,0,15,2015
"1709642","Burbank city, Illinois",29157,19098,505,710,8486,2015
"1760599","Pleasant Plains village, Illinois",904,860,2,0,23,2015
"1774860","Thayer village, Illinois",726,711,0,8,0,2015
"1701140","Altona village, Illinois",494,449,0,16,13,2015
"1734982","Hillcrest village, Illinois",1167,829,5,0,284,2015
"1758343","Pearl village, Illinois",250,226,0,0,0,2015
"1760222","Pittsfield city, Illinois",4611,4311,165,43,60,2015
"1749854","Mokena village, Illinois",19369,17785,141,338,991,2015
"1749945","Monee village, Illinois",5114,3825,633,194,409,2015
"1752584","New Lenox village, Illinois",25024,22644,231,433,1461,2015
"1772520","Steger village, Illinois",9563,5674,1747,130,1658,2015
"1750881","Mount Carroll city, Illinois",1685,1606,7,13,20,2015
"1719798","De Witt village, Illinois",224,213,0,0,0,2015
"1746604","Maple Park village, Illinois",1316,1162,9,19,84,2015
"1770720","South Elgin village, Illinois",22227,16936,805,1518,2671,2015
"1731667","Greenwood village, Illinois",400,385,0,1,14,2015
"1735515","Holiday Hills village, Illinois",658,600,0,19,20,2015
"1745824","McLeansboro city, Illinois",2894,2880,7,0,7,2015
"1718251","Cypress village, Illinois",247,240,0,0,7,2015
"1752285","New Burnside village, Illinois",205,201,0,0,0,2015
"1715378","Colchester city, Illinois",1539,1513,6,0,0,2015
"1745889","Macomb city, Illinois",18944,15818,1359,524,729,2015
"1765884","Rosewood Heights CDP, Illinois",4051,3884,56,0,111,2015
"1782218","Wilsonville village, Illinois",563,527,3,0,2,2015
"1753143","Noble village, Illinois",574,560,6,4,2,2015
"1732408","Hamel village, Illinois",886,864,7,15,0,2015
"1759709","Pierron village, Illinois",460,426,0,1,9,2015
"1761067","Pontoon Beach village, Illinois",5840,4696,400,88,517,2015
"1780281","Westfield village, Illinois",742,738,0,0,4,2015
"1701049","Altamont city, Illinois",2399,2369,6,0,18,2015
"1743900","Lisbon village, Illinois",368,353,0,0,12,2015
"1750218","Montgomery village, Illinois",19196,10598,1681,739,6116,2015
"1701270","Amboy city, Illinois",2535,2386,10,4,132,2015
"1703012","Aurora city, Illinois",200614,77409,19234,14833,84632,2015
"1782309","Windsor village, Illinois",988,960,2,0,11,2015
"1704247","Baylis village, Illinois",195,185,0,0,5,2015
"1719681","Detroit village, Illinois",110,110,0,0,0,2015
"1755132","Oconee village, Illinois",199,198,0,0,0,2015
"1717523","Crete village, Illinois",8246,5613,2036,126,296,2015
"1717939","Crystal Lawns CDP, Illinois",2122,1482,0,16,604,2015
"1712203","Centreville city, Illinois",5142,119,4981,0,25,2015
"1728898","Genoa city, Illinois",5233,4657,0,25,514,2015
"1766989","St. Libory village, Illinois",625,615,0,0,0,2015
"1779085","Washington Park village, Illinois",4072,150,3852,0,23,2015
"1716470","Cortland town, Illinois",4323,3295,148,74,719,2015
"1780853","West Salem village, Illinois",923,897,9,0,5,2015
"1721254","Dupo village, Illinois",4006,3831,32,0,67,2015
"1727806","Freeburg village, Illinois",4226,4053,32,0,69,2015
"1722645","Edinburg village, Illinois",1097,1076,5,0,10,2015
"1746864","Marine village, Illinois",1107,1092,0,0,2,2015
"1711150","Carbon Cliff village, Illinois",2076,1474,285,29,194,2015
"1737179","Ina village, Illinois",2342,1213,857,0,237,2015
"1778708","Waltonville village, Illinois",434,433,0,0,1,2015
"1783206","Woodlawn village, Illinois",676,613,0,2,22,2015
"1702583","Ashton village, Illinois",958,863,5,12,49,2015
"1761925","Princeville village, Illinois",2024,1848,17,8,147,2015
"1718823","Decatur city, Illinois",74654,52718,15435,950,1689,2015
"1756471","Oreana village, Illinois",885,814,8,13,17,2015
"1732668","Hanna City village, Illinois",1361,1286,20,8,40,2015
"1751648","Naplate village, Illinois",438,395,15,0,21,2015
"1702921","Auburn city, Illinois",4870,4724,14,22,83,2015
"1718745","Dawson village, Illinois",545,545,0,0,0,2015
"1748021","Mechanicsburg village, Illinois",560,520,18,2,13,2015
"1756926","Ottawa city, Illinois",18565,15671,712,142,1664,2015
"1704052","Basco village, Illinois",78,77,0,0,0,2015
"1706184","Bismarck village, Illinois",598,597,0,0,1,2015
"1729236","Gillespie city, Illinois",3310,3132,0,102,36,2015
"1753039","Nilwood town, Illinois",223,209,5,3,0,2015
"1757329","Palmyra village, Illinois",584,571,0,0,7,2015
"1733435","Harwood Heights village, Illinois",8649,6922,73,451,1171,2015
"1714026","Chicago Heights city, Illinois",30428,7268,11951,10,10330,2015
"1714065","Chicago Ridge village, Illinois",14407,10290,1500,536,1802,2015
"1723724","Elmwood Park village, Illinois",24971,16583,482,977,6652,2015
"1735879","Homewood village, Illinois",19375,9412,7328,347,1575,2015
"1765845","Roseville village, Illinois",1135,1073,20,9,31,2015
"1726350","Flat Rock village, Illinois",347,330,0,2,0,2015
"1773027","Stoy village, Illinois",164,164,0,0,0,2015
"1781074","Wheeler village, Illinois",118,118,0,0,0,2015
"1742171","La Rose village, Illinois",113,113,0,0,0,2015
"1753481","Northbrook village, Illinois",33572,28011,133,3908,782,2015
"1756627","Orland Hills village, Illinois",7259,5495,526,264,722,2015
"1768705","Sesser city, Illinois",1959,1826,5,6,45,2015
"1725895","Ferris village, Illinois",143,127,0,0,16,2015
"1705092","Belvidere city, Illinois",25741,17495,585,258,6885,2015
"1761145","Poplar Grove village, Illinois",5258,4451,282,91,302,2015
"1719616","De Soto village, Illinois",1567,1371,34,3,88,2015
"1746214","Makanda village, Illinois",588,461,16,82,15,2015
"1742587","Lee village, Illinois",352,325,9,0,4,2015
"1773287","Sublette village, Illinois",413,388,0,0,23,2015
"1709434","Buffalo village, Illinois",537,522,0,0,9,2015
"1712684","Chatham village, Illinois",12341,11299,186,188,334,2015
"1741404","Lake Petersburg CDP, Illinois",628,609,0,19,0,2015
"1742002","Langleyville CDP, Illinois",348,348,0,0,0,2015
"1742067","LaPlace CDP, Illinois",157,148,0,0,0,2015
"1744836","Lost Nation CDP, Illinois",650,650,0,0,0,2015
"1749698","Mitchell CDP, Illinois",1161,1099,0,62,0,2015
"1751310","Mulkeytown CDP, Illinois",151,151,0,0,0,2015
"1754924","Oak Run CDP, Illinois",499,484,4,11,0,2015
"1755847","Olive Branch CDP, Illinois",698,675,0,0,23,2015
"1755886","Olivet CDP, Illinois",319,280,2,7,30,2015
"1756198","Opdyke CDP, Illinois",339,328,0,2,9,2015
"1757160","Paderborn CDP, Illinois",36,36,0,0,0,2015
"1758577","Penfield CDP, Illinois",159,125,0,6,12,2015
