"GEOID","NAME","median_incomeE","year"
"1714000","Chicago city, Illinois",48522,2015
"1714000","Chicago city, Illinois",50434,2016
"1714000","Chicago city, Illinois",52497,2017
"1714000","Chicago city, Illinois",55198,2018
"1714000","Chicago city, Illinois",58247,2019
"1714000","Chicago city, Illinois",62097,2020
"1714000","Chicago city, Illinois",65781,2021
"1714000","Chicago city, Illinois",71673,2022
